field,year,raw_value,lat,lon
Akron,2015,"40.1526,-103.1357",40.1526,-103.1357
Akron,2016,"40.1526,-103.1357",40.1526,-103.1357
Akron,2017,"40.148, -103.141",40.148,-103.141
Akron,2018,"40.1492, -103.13687",40.1492,-103.13687
Akron,2019,"40.1493, -103.1373",40.1493,-103.1373
Akron,2020,"40.1494, -103.1385",40.1494,-103.1385
Akron,2021,"40.1492, -103.1436",40.1492,-103.1436
Akron,2022,"40.14931, -103.13738",40.14931,-103.13738
Akron,2023,"40.151038, -103.141808",40.151038,-103.141808
Akron,2024,"40.14928, -103.14352",40.14928,-103.14352
Akron,2025,"40.1499108, -103.1371728",40.1499108,-103.1371728
Arapahoe,2015,"39.014, -102.316",39.014,-102.316
Arapahoe,2016,"39.001, -102.246",39.001,-102.246
Arapahoe,2017,"38.906, -102.314",38.906,-102.314
Arapahoe,2018,"38.92234, -102.31422",38.92234,-102.31422
Arapahoe,2019,"39.0015, -102.2461",39.0015,-102.2461
Arapahoe,2020,"38.9066, -102.3141",38.9066,-102.3141
Arapahoe,2021,"38.8992, -102.3027",38.8992,-102.3027
Arapahoe,2022,"39.0014, -102.24629",39.0014,-102.24629
Arapahoe,2023,"38.911339, -102.31567",38.911339,-102.31567
Arapahoe,2024,"38.90997, -102.26053",38.90997,-102.26053
Arapahoe,2025,"38.903798, -102.31431",38.903798,-102.31431
Burlington_ir,2017,"39.299, -102.287",39.299,-102.287
Burlington_ir,2018,"39.2043,-102.14492",39.2043,-102.14492
Burlington_ir,2019,"39.21465, -102.13837",39.21465,-102.13837
Burlington_ir,2020,"39.38035, -102.15222",39.38035,-102.15222
Burlington_ir,2021,"39.35587, -102.16538",39.35587,-102.16538
Burlington_ir,2022,"39.40709, -102.15592",39.40709,-102.15592
Burlington_ir,2023,"39.4107331, -102.15088 ",39.4107331,-102.15088
Burlington_ir,2024,"39.40977, -102.15246",39.40977,-102.15246
Burlington_ir,2025,"39.410895, -102.15287",39.410895,-102.15287
Burlington,2015,"39.188, -102.299",39.188,-102.299
Burlington,2016,"39.18, -102.30",39.18,-102.3
Burlington,2017,"39.295, -102.297",39.295,-102.297
Burlington,2018,"39.29991, -102.29835",39.29991,-102.29835
Burlington,2019,"39.2852, -102.2795",39.2852,-102.2795
Burlington,2020,"39.3152, -102.2578",39.3152,-102.2578
Burlington,2021,"39.3152, -102.2578",39.3152,-102.2578
Burlington,2022,"39.28575, -102.27902",39.28575,-102.27902
Burlington,2023,"39.31518, -102.258",39.31518,-102.258
Burlington,2024,"39.30252, -102.29688",39.30252,-102.29688
Burlington,2025,"39.2851853, -102.279391 ",39.2851853,-102.279391
Fort Collins,2015,"40.653, -104.999",40.653,-104.999
Fort Collins,2016,"40.185, -102.661",40.185,-102.661
Fort Collins,2017,"40.185, -102.661",40.185,-102.661
Fort Collins,2019,"40.6529, -104.999",40.6529,-104.999
Fort Collins,2020,"40.652947, -104.99922",40.652947,-104.99922
Fort Collins,2021,"40.652947, -104.99922",40.652947,-104.99922
Fort Collins,2022,"40.652947, -104.99922",40.652947,-104.99922
Fort Collins,2023,"40.652947, -104.9992",40.652947,-104.9992
Fort Collins,2024,"40.653, -104.99",40.653,-104.99
Fort Collins,2025,"40.65285,-104.9995 ",40.65285,-104.9995
Genoa,2015,"39.2733, -103.485",39.2733,-103.485
Genoa,2016,"39.288, -103.456",39.288,-103.456
Genoa,2017,"39.287, -103.45",39.287,-103.45
Genoa,2018,"39.3562, -103.4922",39.3562,-103.4922
Genoa,2019,"39.3516, -103.5093",39.3516,-103.5093
Genoa,2020,"39.3577, -103.5103",39.3577,-103.5103
Genoa,2021,"39.3561, -103.4921",39.3561,-103.4921
Genoa,2022,"39.35086, -103.50872",39.35086,-103.50872
Genoa,2023,"39.359785, 103.510437",39.359785,103.510437
Genoa,2024,"39.35565, -103.49227",39.35565,-103.49227
Genoa,2025,"39.380358, -103.47343",39.380358,-103.47343
Haxtun,2015,"40.406, -102.607",40.406,-102.607
Haxtun,2016,"40.395, -102.612",40.395,-102.612
Haxtun,2017,"40.406, -102.607",40.406,-102.607
Haxtun,2018,"40.3941, -102.61417",40.3941,-102.61417
Haxtun,2019,"40.405, -102.6063",40.405,-102.6063
Julesburg,2015,"40.9005, -102.2288",40.9005,-102.2288
Julesburg,2016,"37.775, -102.519",37.775,-102.519
Julesburg,2017,"40.837, -102.38",40.837,-102.38
Julesburg,2018,"40.8996, -102.22933",40.8996,-102.22933
Julesburg,2019,"40.8356, -102.3429",40.8356,-102.3429
Julesburg,2020,"40.8245, -102.3063",40.8245,-102.3063
Julesburg,2021,"40.8991, -102.2288",40.8991,-102.2288
Julesburg,2022,"40.83809, -102.37339",40.83809,-102.37339
Julesburg,2023,"40.83667, -102.373352",40.83667,-102.373352
Julesburg,2024,"40.85231, -102.38116",40.85231,-102.38116
Julesburg,2025,"40.836209, -102.33952 ",40.836209,-102.33952
Lamar,2015,"37.7799, -102.5473",37.7799,-102.5473
Lamar,2016,"40.835, -102.336",40.835,-102.336
Lamar,2017,"37.774, -102.519",37.774,-102.519
Lamar,2018,"37.98745,-102.50393",37.98745,-102.50393
Lamar,2019,"38.0026, -102.6135",38.0026,-102.6135
Lamar,2020,"38.0026, -102.6135",38.0026,-102.6135
Lamar,2021,"38.0124, -102.6179",38.0124,-102.6179
Lamar,2022,"38.00783, -102.61444",38.00783,-102.61444
Lamar,2023,"38.012394, -102.62329",38.012394,-102.62329
Lamar,2024,"38.0034, -102.55723",38.0034,-102.55723
Lamar,2025,"38.012272, -102.62205 ",38.012272,-102.62205
Orchard,2015,"40.511, -104.071",40.511,-104.071
Orchard,2016,"40.453, -104.071",40.453,-104.071
Orchard,2017,"40.5187, -104.072",40.5187,-104.072
Orchard,2018,"40.47969, -104.07124",40.47969,-104.07124
Orchard,2019,"40.4817, -104.1099 ",40.4817,-104.1099
Orchard,2020,"40.4804, -104.1095",40.4804,-104.1095
Orchard,2021,"40.4513, -104.0700",40.4513,-104.07
Orchard,2022,"40.47944, -104.07112",40.47944,-104.07112
Orchard,2023,"40.481426, -104.07898",40.481426,-104.07898
Orchard,2024,"40.52082, -104.07153",40.52082,-104.07153
Orchard,2025,"40.5110819, -104.071168 ",40.5110819,-104.071168
Rocky Ford,2015,"38.039, -103.693",38.039,-103.693
Rocky Ford,2016,"38.039, -103.693",38.039,-103.693
Roggen,2015,"40.0716, -104.2817",40.0716,-104.2817
Roggen,2016,"40.088, -104.257",40.088,-104.257
Roggen,2017,"40.068, -104.281",40.068,-104.281
Roggen,2018,"40.08824, -104.26023",40.08824,-104.26023
Roggen,2019,"40.0727, -104.3019",40.0727,-104.3019
Roggen,2020,"40.0842, -104.3013",40.0842,-104.3013
Roggen,2021,"40.0692, -104.2815",40.0692,-104.2815
Roggen,2022,"40.08204, -104.30125",40.08204,-104.30125
Roggen,2023,"40.07075, -104.28144",40.07075,-104.28144
Roggen,2024,"40.08154, -104.30167",40.08154,-104.30167
Roggen,2025,"40.06925124, -104.2814146 ",40.06925124,-104.2814146
Shedidan Lake,2015,"38.565, -102.4358",38.565,-102.4358
Shedidan Lake,2016,"38.536, -102.472",38.536,-102.472
Shedidan Lake,2017,"38.5417, -102.4517",38.5417,-102.4517
Shedidan Lake,2018,"38.5425,-102.4647",38.5425,-102.4647
Shedidan Lake,2019,"38.5345, -102.4712",38.5345,-102.4712
Shedidan Lake,2020,"38.5340, -102.4357",38.534,-102.4357
Shedidan Lake,2021,"38.5353, -102.4357",38.5353,-102.4357
Shedidan Lake,2022,"38.53838, -102.47213",38.53838,-102.47213
Shedidan Lake,2023,"38.53187, -102.43544",38.53187,-102.43544
Shedidan Lake,2024,"38.53114, -102.47207",38.53114,-102.47207
Shedidan Lake,2025,"38.5385583, -102.469833 ",38.5385583,-102.469833
Walsh,2015,"37.4346, -102.3193",37.4346,-102.3193
Walsh,2016,"37.4346, -102.3193",37.4346,-102.3193
Walsh,2017,"37.4346, -102.3193",37.4346,-102.3193
Walsh,2018,"37.43448, -102.31954",37.43448,-102.31954
Walsh,2019,"37.4312, -102.3104",37.4312,-102.3104
Walsh,2020,"37.4312, -102.3104",37.4312,-102.3104
Walsh,2021,"37.4342, -102.3193",37.4342,-102.3193
Walsh,2022,"37.429318, -102.31617",37.429318,-102.31617
Walsh,2023,"37.43116, -102.31043",37.43116,-102.31043
Walsh,2024,"37.43416, -102.31022",37.43416,-102.31022
Walsh,2025,"37.434262330,-102.31464905",37.43426233,-102.31464905
Yuma,2015,"40.1858, -102.6614",40.1858,-102.6614
Yuma,2016,"40.1858, -102.6614",40.1858,-102.6614
Yuma,2017,"40.188, -102.661",40.188,-102.661
Yuma,2018,"40.186, -102.6612",40.186,-102.6612
Yuma,2019,"40.1907, -102.6611",40.1907,-102.6611
Yuma,2020,"40.1866, -102.6543",40.1866,-102.6543
Yuma,2021,"40.1851, -102.6612",40.1851,-102.6612
Yuma,2022,"40.18659, -102.65709",40.18659,-102.65709
Yuma,2023,"40.186218,-102.65899",40.186218,-102.65899
Yuma,2024,"40.19047, -102.66101",40.19047,-102.66101
Yuma,2025,"40.18668, -102.65383",40.18668,-102.65383
Holyoke,2020,"40.55708, -102.28748",40.55708,-102.28748
Holyoke,2021,"40.91638, -102.04747",40.91638,-102.04747
Wiggins,2022,"40.0004, -104.10129",40.0004,-104.10129
Wiggins,2023,"39.9953, -104.10392",39.9953,-104.10392
Wiggins,2024,"40.00743, -104.1009",40.00743,-104.1009
Wiggins,2025,"39.997682, -104.104908",39.997682,-104.104908
Haswell,2023,"38.632886, -103.265932",38.632886,-103.265932
Haswell,2024,"38.63859, -103.26592",38.63859,-103.26592
Haswell,2025,"38.6386854, -103.24749",38.6386854,-103.24749
New Raymer,2023,"40.57115, -103.8973",40.57115,-103.8973
New Raymer,2024,"40.572458, -103.899",40.572458,-103.899
New Raymer,2025,"40.553532, -103.89849 ",40.553532,-103.89849
